hiLocus	iLocus	Species	Protein
HILC-1568	AmelILC-04726	Amel	XP_016767397.1
HILC-1568	Amh3ILC-04902	Amh3	XP_001122546.4
HILC-1569	Am32ILC-18735	Am32	GB53357-PA
HILC-1569	AmelILC-09862	Amel	XP_392515.2
HILC-1569	Amh3ILC-09863	Amh3	XP_006567440.1
HILC-1570	Am32ILC-05831	Am32	GB52025-PA
HILC-1570	AmelILC-12773	Amel	XP_393860.4
HILC-1570	Amh3ILC-12749	Amh3	XP_006566920.1
HILC-1571	Am32ILC-08070	Am32	GB52904-PA
HILC-1571	AmelILC-14548	Amel	XP_624213.3
HILC-1571	Amh3ILC-14489	Amh3	XP_624213.3
HILC-1572	Am32ILC-14408	Am32	GB46692-PA
HILC-1572	AmelILC-05325	Amel	XP_006562213.1
HILC-1572	Amh3ILC-05313	Amh3	XP_006562213.1
HILC-1573	Am32ILC-09561	Am32	GB45617-PA
HILC-1573	AmelILC-15671	Amel	XP_397509.5
HILC-1573	Amh3ILC-15533	Amh3	XP_026301518.1
HILC-1574	Am32ILC-10680	Am32	GB55660-PA
HILC-1574	AmelILC-02854	Amel	XP_623133.3
HILC-1574	Amh3ILC-02730	Amh3	XP_006569139.2
HILC-1575	Am32ILC-05691	Am32	GB49372-PA
HILC-1575	AmelILC-12710	Amel	XP_006565237.1
HILC-1575	Amh3ILC-12528	Amh3	XP_006565237.1
HILC-1576	Am32ILC-12332	Am32	GB44041-PA
HILC-1576	AmelILC-04847	Amel	XP_006567293.1
HILC-1576	Amh3ILC-04778	Amh3	XP_394482.4
HILC-1577	Am32ILC-12878	Am32	GB49613-PA
HILC-1577	AmelILC-04328	Amel	XP_395411.5
HILC-1577	Amh3ILC-04417	Amh3	XP_026295974.1
HILC-1578	Am32ILC-05015	Am32	GB43104-PA
HILC-1578	AmelILC-12128	Amel	XP_016770680.1
HILC-1578	Amh3ILC-12064	Amh3	XP_026299432.1
HILC-1579	Am32ILC-01407	Am32	GB47389-PA
HILC-1579	AmelILC-01291	Amel	XP_624231.2
HILC-1579	Amh3ILC-01284	Amh3	XP_624231.2
HILC-1580	Am32ILC-03671	Am32	GB50893-PA
HILC-1580	AmelILC-10566	Amel	XP_006566264.1
HILC-1580	Amh3ILC-10663	Amh3	XP_006566264.1
HILC-1581	Am32ILC-12898	Am32	GB55931-PA
HILC-1581	AmelILC-04472	Amel	XP_003249994.1
HILC-1581	Amh3ILC-04465	Amh3	XP_006562035.1
HILC-1582	Am32ILC-14761	Am32	GB46024-PA
HILC-1582	AmelILC-06501	Amel	XP_625001.2
HILC-1582	Amh3ILC-06712	Amh3	XP_625001.2
HILC-1583	Am32ILC-09590	Am32	GB45948-PA
HILC-1583	AmelILC-15693	Amel	XP_006563163.2
HILC-1583	Amh3ILC-15618	Amh3	XP_006563163.3
HILC-1584	Am32ILC-11707	Am32	GB51518-PA
HILC-1584	AmelILC-03516	Amel	XP_001120712.2
HILC-1584	Amh3ILC-03499	Amh3	XP_001120712.2
HILC-1585	Am32ILC-05492	Am32	GB40674-PA
HILC-1585	AmelILC-12581	Amel	XP_397101.4
HILC-1585	Amh3ILC-12383	Amh3	XP_397101.4
HILC-1586	Am32ILC-06556	Am32	GB54784-PA
HILC-1586	AmelILC-12986	Amel	XP_624210.1
HILC-1586	Amh3ILC-12950	Amh3	XP_624210.1
HILC-1587	Am32ILC-02941	Am32	GB54608-PA
HILC-1587	AmelILC-10248	Amel	XP_396388.4
HILC-1587	Amh3ILC-10148	Amh3	XP_396388.5
HILC-1588	Am32ILC-15922	Am32	GB49235-PA
HILC-1588	AmelILC-07576	Amel	XP_006560897.1
HILC-1588	Amh3ILC-07400	Amh3	XP_006560897.1
HILC-1589	Am32ILC-18190	Am32	GB45555-PA
HILC-1589	AmelILC-09266	Amel	XP_624844.3
HILC-1589	Amh3ILC-09135	Amh3	XP_624844.3
HILC-1590	Am32ILC-01789	Am32	GB45518-PA
HILC-1590	AmelILC-01599	Amel	XP_394163.3
HILC-1590	Amh3ILC-01478	Amh3	XP_394163.3
HILC-1591	Am32ILC-17621	Am32	GB40365-PA
HILC-1591	AmelILC-08406	Amel	XP_006559664.1
HILC-1591	Amh3ILC-08261	Amh3	XP_026297927.1
HILC-1592	Am32ILC-13317	Am32	GB48661-PA
HILC-1592	AmelILC-05498	Amel	XP_006564809.1
HILC-1592	Amh3ILC-05494	Amh3	XP_006564809.1
HILC-1593	Am32ILC-10030	Am32	GB52423-PA
HILC-1593	AmelILC-02623	Amel	XP_395471.3
HILC-1593	Amh3ILC-02558	Amh3	XP_395471.3
HILC-1594	Am32ILC-14429	Am32	GB46786-PA
HILC-1594	AmelILC-05340	Amel	XP_394955.4
HILC-1594	Amh3ILC-05300	Amh3	XP_026296623.1
HILC-1595	Am32ILC-05007	Am32	GB43213-PA
HILC-1595	AmelILC-12134	Amel	XP_006570468.1
HILC-1595	Amh3ILC-12059	Amh3	XP_026299896.1
HILC-1596	Am32ILC-04155	Am32	GB43502-PA
HILC-1596	AmelILC-11413	Amel	XP_003250392.1
HILC-1596	Amh3ILC-11329	Amh3	XP_003250392.2
HILC-1597	Am32ILC-09691	Am32	GB50772-PA
HILC-1597	AmelILC-02326	Amel	XP_006561142.1
HILC-1597	Amh3ILC-02261	Amh3	XP_006561142.2
HILC-1598	Am32ILC-15648	Am32	GB45343-PA
HILC-1598	AmelILC-07164	Amel	XP_016768331.1
HILC-1598	Amh3ILC-06985	Amh3	XP_016768331.1
HILC-1599	Am32ILC-18375	Am32	GB42817-PA
HILC-1599	AmelILC-09561	Amel	XP_392828.2
HILC-1599	Amh3ILC-09463	Amh3	XP_392828.3
HILC-1600	Am32ILC-07318	Am32	GB52725-PA
HILC-1600	AmelILC-14041	Amel	XP_394020.3
HILC-1600	Amh3ILC-14057	Amh3	XP_394020.3
HILC-1601	Am32ILC-08695	Am32	GB50244-PA
HILC-1601	AmelILC-15079	Amel	XP_006563668.1
HILC-1601	Amh3ILC-14985	Amh3	XP_026301180.1
HILC-1602	Am32ILC-13078	Am32	GB50409-PA
HILC-1602	AmelILC-04611	Amel	XP_393373.3
HILC-1602	Amh3ILC-04551	Amh3	XP_393373.3
HILC-1603	Am32ILC-04681	Am32	GB45207-PA
HILC-1603	AmelILC-11875	Amel	XP_016770707.1
HILC-1603	Amh3ILC-11763	Amh3	XP_016770707.1
HILC-1604	Am32ILC-17780	Am32	GB54556-PA
HILC-1604	AmelILC-08545	Amel	XP_016769029.1
HILC-1604	Amh3ILC-08413	Amh3	XP_016769029.1
HILC-1605	Am32ILC-11024	Am32	GB53812-PA
HILC-1605	AmelILC-03834	Amel	XP_006566860.1
HILC-1605	Amh3ILC-03806	Amh3	XP_006566860.2
HILC-1606	Am32ILC-11372	Am32	GB51894-PA
HILC-1606	AmelILC-03277	Amel	XP_006558043.1
HILC-1606	Amh3ILC-03282	Amh3	XP_006558043.1
HILC-1607	Am32ILC-04453	Am32	GB45128-PA
HILC-1607	AmelILC-11648	Amel	XP_393806.2
HILC-1607	Amh3ILC-11542	Amh3	XP_393806.2
HILC-1608	Am32ILC-14789	Am32	GB46061-PA
HILC-1608	AmelILC-06477	Amel	XP_006562508.1
HILC-1608	Amh3ILC-06736	Amh3	XP_006562508.2
HILC-1609	Am32ILC-16323	Am32	GB44327-PA
HILC-1609	AmelILC-07978	Amel	XP_006568347.1
HILC-1609	Amh3ILC-07833	Amh3	XP_006568347.2
HILC-1610	Am32ILC-09144	Am32	GB54337-PA
HILC-1610	AmelILC-15328	Amel	XP_396394.3
HILC-1610	Amh3ILC-15190	Amh3	XP_016772610.1
HILC-1611	Am32ILC-16432	Am32	GB44373-PA
HILC-1611	AmelILC-07881	Amel	XP_392631.2
HILC-1611	Amh3ILC-07744	Amh3	XP_392631.2
HILC-1612	Am32ILC-10746	Am32	GB48692-PA
HILC-1612	AmelILC-02162	Amel	XP_395961.4
HILC-1612	Amh3ILC-02127	Amh3	XP_395961.4
HILC-1613	Am32ILC-00072	Am32	GB42143-PA
HILC-1613	AmelILC-00062	Amel	XP_392109.3
HILC-1613	Amh3ILC-00019	Amh3	XP_016766321.2
HILC-1614	Am32ILC-16133	Am32	GB43261-PA
HILC-1614	AmelILC-07315	Amel	XP_006557693.1
HILC-1614	Amh3ILC-07178	Amh3	XP_397140.4
HILC-1615	Am32ILC-10271	Am32	GB55507-PA
HILC-1615	AmelILC-03209	Amel	XP_016773614.1
HILC-1615	Amh3ILC-03082	Amh3	XP_016773614.1
HILC-1616	Am32ILC-18201	Am32	GB42747-PA
HILC-1616	AmelILC-09398	Amel	XP_006561633.1
HILC-1616	Amh3ILC-09303	Amh3	XP_026298483.1
HILC-1617	Am32ILC-10143	Am32	GB52349-PA
HILC-1617	AmelILC-02726	Amel	XP_396155.4
HILC-1617	Amh3ILC-02461	Amh3	XP_396155.4
HILC-1618	Am32ILC-18852	Am32	GB53300-PA
HILC-1618	AmelILC-09974	Amel	XP_006567529.1
HILC-1618	Amh3ILC-09758	Amh3	XP_026298725.1
HILC-1619	Am32ILC-14973	Am32	GB48521-PA
HILC-1619	AmelILC-06532	Amel	XP_016768209.1
HILC-1619	Amh3ILC-06470	Amh3	XP_026297343.1
HILC-1620	Am32ILC-09538	Am32	GB47550-PA
HILC-1620	AmelILC-15647	Amel	XP_006561474.1
HILC-1620	Amh3ILC-15423	Amh3	XP_006561474.1
HILC-1621	Am32ILC-11313	Am32	GB46118-PA
HILC-1621	AmelILC-04100	Amel	XP_006569923.1
HILC-1621	Amh3ILC-04055	Amh3	XP_006569922.2
HILC-1622	Am32ILC-16149	Am32	GB43256-PA
HILC-1622	AmelILC-07324	Amel	XP_395153.3
HILC-1622	Amh3ILC-07169	Amh3	XP_395153.3
HILC-1623	Am32ILC-13526	Am32	GB44611-PA
HILC-1623	AmelILC-05658	Amel	XP_006567785.1
HILC-1623	Amh3ILC-05740	Amh3	XP_006567785.2
HILC-1624	Am32ILC-10576	Am32	GB55389-PA
HILC-1624	AmelILC-02944	Amel	XP_003251296.1
HILC-1624	Amh3ILC-02818	Amh3	XP_003251296.1
HILC-1625	Am32ILC-07293	Am32	GB52746-PA
HILC-1625	AmelILC-14021	Amel	XP_006564886.1
HILC-1625	Amh3ILC-14077	Amh3	XP_006564886.1
HILC-1626	Am32ILC-17021	Am32	GB41974-PA
HILC-1626	AmelILC-09041	Amel	XP_016769286.1
HILC-1626	Amh3ILC-08882	Amh3	XP_624144.2
HILC-1627	Am32ILC-04968	Am32	GB43125-PA
HILC-1627	AmelILC-12168	Amel	XP_006570419.1
HILC-1627	Amh3ILC-12025	Amh3	XP_395618.4
HILC-1628	Am32ILC-15466	Am32	GB42358-PA
HILC-1628	AmelILC-06996	Amel	XP_016768233.1
HILC-1628	Amh3ILC-06903	Amh3	XP_026297259.1
HILC-1629	Am32ILC-12517	Am32	GB53028-PA
HILC-1629	AmelILC-05011	Amel	XP_001120790.2
HILC-1629	Amh3ILC-04966	Amh3	XP_026295929.1
HILC-1630	Am32ILC-03211	Am32	GB54239-PA
HILC-1630	AmelILC-10448	Amel	XP_006564541.1
HILC-1630	Amh3ILC-10340	Amh3	XP_006564542.1
HILC-1631	Am32ILC-11823	Am32	GB55765-PA
HILC-1631	AmelILC-03614	Amel	XP_016766896.1
HILC-1631	Amh3ILC-03578	Amh3	XP_026295426.1
HILC-1632	Am32ILC-11762	Am32	GB55803-PA
HILC-1632	AmelILC-03559	Amel	XP_006560916.2
HILC-1632	Amh3ILC-03634	Amh3	XP_026295320.1
HILC-1633	Am32ILC-13546	Am32	GB44616-PA
HILC-1633	AmelILC-05675	Amel	XP_006567807.1
HILC-1633	Amh3ILC-05722	Amh3	XP_396096.4
HILC-1634	Am32ILC-18818	Am32	GB53317-PA
HILC-1634	AmelILC-09947	Amel	XP_006567511.1
HILC-1634	Amh3ILC-09781	Amh3	XP_026298656.1
HILC-1635	Am32ILC-03308	Am32	GB52612-PA
HILC-1635	AmelILC-10520	Amel	XP_016769978.1
HILC-1635	Amh3ILC-10408	Amh3	XP_026299247.1
HILC-1636	Am32ILC-07386	Am32	GB52704-PA
HILC-1636	AmelILC-14096	Amel	XP_016771507.1
HILC-1636	Amh3ILC-14008	Amh3	XP_026300901.1
HILC-1637	Am32ILC-06425	Am32	GB49853-PA
HILC-1637	AmelILC-13385	Amel	XP_016771455.1
HILC-1637	Amh3ILC-13309	Amh3	XP_026300459.1
HILC-1638	Am32ILC-18035	Am32	GB41798-PA
HILC-1638	AmelILC-08809	Amel	XP_016768967.1
HILC-1638	Amh3ILC-08633	Amh3	XP_026298075.1
HILC-1639	Am32ILC-18601	Am32	GB42593-PA
HILC-1639	AmelILC-09746	Amel	XP_006561916.1
HILC-1639	Amh3ILC-09659	Amh3	XP_016769516.1
HILC-1640	Am32ILC-03953	Am32	GB46627-PA
HILC-1640	AmelILC-10990	Amel	XP_006557483.1
HILC-1640	Amh3ILC-10842	Amh3	XP_006557483.1
HILC-1641	Am32ILC-11941	Am32	GB53708-PA
HILC-1641	AmelILC-03711	Amel	XP_624950.1
HILC-1641	Amh3ILC-03688	Amh3	XP_624950.1
HILC-1642	Am32ILC-15161	Am32	GB41418-PA
HILC-1642	AmelILC-06666	Amel	XP_001121093.2
HILC-1642	Amh3ILC-06521	Amh3	XP_001121093.2
HILC-1643	Am32ILC-01311	Am32	GB47423-PA
HILC-1643	AmelILC-01365	Amel	XP_016766747.1
HILC-1643	Amh3ILC-01211	Amh3	XP_026299434.1
HILC-1644	Am32ILC-00427	Am32	GB48996-PA
HILC-1644	AmelILC-00716	Amel	XP_006565364.1
HILC-1644	Amh3ILC-00658	Amh3	XP_006565364.1
HILC-1645	Am32ILC-07344	Am32	GB52763-PA
HILC-1645	AmelILC-14066	Amel	XP_006564946.1
HILC-1645	Amh3ILC-14034	Amh3	XP_003250547.2
HILC-1646	Am32ILC-12481	Am32	GB53013-PA
HILC-1646	AmelILC-04975	Amel	XP_016767259.1
HILC-1646	Amh3ILC-04996	Amh3	XP_006569353.1
HILC-1647	Am32ILC-12554	Am32	GB53043-PA
HILC-1647	AmelILC-05045	Amel	XP_006569435.1
HILC-1647	Amh3ILC-04931	Amh3	XP_006569435.1
HILC-1648	Am32ILC-02362	Am32	GB53908-PA
HILC-1648	AmelILC-01979	Amel	XP_016772313.1
HILC-1648	Amh3ILC-01900	Amh3	XP_026301971.1
HILC-1649	Am32ILC-13790	Am32	GB47820-PA
HILC-1649	AmelILC-05882	Amel	XP_006569556.1
HILC-1649	Amh3ILC-05871	Amh3	XP_006569556.2
HILC-1650	Am32ILC-10546	Am32	GB55400-PA
HILC-1650	AmelILC-02962	Amel	XP_016766196.1
HILC-1650	Amh3ILC-02836	Amh3	XP_016766196.1
HILC-1651	Am32ILC-14944	Am32	GB48598-PA
HILC-1651	AmelILC-06561	Amel	XP_003250417.1
HILC-1651	Amh3ILC-06445	Amh3	XP_003250417.1
HILC-1652	Am32ILC-10827	Am32	GB43453-PA
HILC-1652	AmelILC-02297	Amel	XP_016766373.1
HILC-1652	Amh3ILC-02239	Amh3	XP_006559144.1
HILC-1653	Am32ILC-05728	Am32	GB49324-PA
HILC-1653	AmelILC-12684	Amel	XP_625103.3
HILC-1653	Amh3ILC-12555	Amh3	XP_006565267.1
HILC-1654	Am32ILC-12070	Am32	GB49651-PA
HILC-1654	AmelILC-04141	Amel	XP_395502.2
HILC-1654	Amh3ILC-04106	Amh3	XP_395502.2
HILC-1655	Am32ILC-01568	Am32	GB51938-PA
HILC-1655	AmelILC-01443	Amel	NP_001091689.1
HILC-1655	Amh3ILC-01342	Amh3	NP_001091689.1
HILC-1656	Am32ILC-08882	Am32	GB41188-PA
HILC-1656	AmelILC-14355	Amel	XP_016772064.1
HILC-1656	Amh3ILC-14268	Amh3	XP_026301458.1
HILC-1657	Am32ILC-12407	Am32	GB44207-PA
HILC-1657	AmelILC-04910	Amel	XP_016767483.1
HILC-1657	Amh3ILC-04720	Amh3	XP_392445.3
HILC-1658	Am32ILC-05579	Am32	GB40624-PA
HILC-1658	AmelILC-12509	Amel	XP_006562317.1
HILC-1658	Amh3ILC-12445	Amh3	XP_006562317.1
HILC-1659	Am32ILC-09374	Am32	GB51264-PA
HILC-1659	AmelILC-15507	Amel	XP_006559458.1
HILC-1659	Amh3ILC-15299	Amh3	XP_392994.4
HILC-1660	Am32ILC-01803	Am32	GB45498-PA
HILC-1660	AmelILC-01608	Amel	XP_016770347.1
HILC-1660	Amh3ILC-01486	Amh3	XP_026301948.1
HILC-1661	Am32ILC-01993	Am32	GB51629-PA
HILC-1661	AmelILC-01769	Amel	XP_623605.2
HILC-1661	Amh3ILC-01567	Amh3	XP_623605.2
HILC-1662	Am32ILC-16187	Am32	GB42451-PA
HILC-1662	AmelILC-07866	Amel	XP_396937.4
HILC-1662	Amh3ILC-07639	Amh3	XP_396937.4
HILC-1663	Am32ILC-17200	Am32	GB51744-PA
HILC-1663	AmelILC-09199	Amel	XP_001120296.2
HILC-1663	Amh3ILC-09000	Amh3	XP_001120296.2
HILC-1664	Am32ILC-12438	Am32	GB44222-PA
HILC-1664	AmelILC-04942	Amel	XP_006567357.1
HILC-1664	Amh3ILC-04693	Amh3	XP_006567357.1
HILC-1665	Am32ILC-11871	Am32	GB55743-PA
HILC-1665	AmelILC-03652	Amel	XP_006561020.1
HILC-1665	Amh3ILC-03544	Amh3	XP_006561020.1
HILC-1666	Am32ILC-01699	Am32	GB42223-PA
HILC-1666	AmelILC-01566	Amel	XP_006571218.1
HILC-1666	Amh3ILC-01454	Amh3	XP_006571218.1
HILC-1667	Am32ILC-19248	Am32	GB52246-PA
HILC-1667	AmelILC-16561	Amel	XP_001121363.2
HILC-1667	Amh3ILC-02090	Amh3	XP_001121363.2
HILC-1668	Am32ILC-14076	Am32	GB45662-PA
HILC-1668	AmelILC-06105	Amel	XP_006570283.1
HILC-1668	Amh3ILC-06042	Amh3	XP_006570282.1
HILC-1669	Am32ILC-25953	Am32	GB46102-PA
HILC-1669	AmelILC-16423	Amel	XP_006572124.1
HILC-1669	Amh3ILC-11150	Amh3	XP_006572124.1
HILC-1670	Am32ILC-11688	Am32	GB51495-PA
HILC-1670	AmelILC-03499	Amel	XP_392863.2
HILC-1670	Amh3ILC-03514	Amh3	XP_392863.3
HILC-1671	Am32ILC-05597	Am32	GB40614-PA
HILC-1671	AmelILC-12498	Amel	XP_016771036.1
HILC-1671	Amh3ILC-12455	Amh3	XP_016771036.1
HILC-1672	Am32ILC-06559	Am32	GB54722-PA
HILC-1672	AmelILC-12988	Amel	XP_624284.2
HILC-1672	Amh3ILC-12952	Amh3	XP_624284.3
HILC-1673	Am32ILC-18509	Am32	GB42865-PA
HILC-1673	AmelILC-09671	Amel	XP_006561855.1
HILC-1673	Amh3ILC-09585	Amh3	XP_006561855.2
HILC-1674	Am32ILC-07029	Am32	GB49050-PA
HILC-1674	AmelILC-13519	Amel	XP_006557635.1
HILC-1674	Amh3ILC-13462	Amh3	XP_006557635.1
HILC-1675	Am32ILC-06763	Am32	GB48010-PA
HILC-1675	AmelILC-13151	Amel	XP_006560145.1
HILC-1675	Amh3ILC-13095	Amh3	XP_006560145.1
HILC-1676	Am32ILC-07272	Am32	GB54219-PA
HILC-1676	AmelILC-13876	Amel	XP_001123195.2
HILC-1676	Amh3ILC-13824	Amh3	XP_001123195.2
HILC-1677	Am32ILC-20761	Am32	GB52893-PA
HILC-1677	AmelILC-16982	Amel	XP_392802.4
HILC-1677	Amh3ILC-09078	Amh3	XP_026298493.1
HILC-1678	Am32ILC-03824	Am32	GB47330-PA
HILC-1678	AmelILC-10945	Amel	XP_003251423.2
HILC-1678	Amh3ILC-10796	Amh3	XP_026299105.1
HILC-1679	Am32ILC-12283	Am32	GB44156-PA
HILC-1679	AmelILC-04809	Amel	XP_016767161.1
HILC-1679	Amh3ILC-04818	Amh3	XP_016767161.1
HILC-1680	Am32ILC-05913	Am32	GB51999-PA
HILC-1680	AmelILC-12826	Amel	XP_391940.2
HILC-1680	Amh3ILC-12704	Amh3	XP_391940.2
HILC-1681	Am32ILC-12699	Am32	GB53148-PA
HILC-1681	AmelILC-04277	Amel	XP_016767503.1
HILC-1681	Amh3ILC-04228	Amh3	XP_395376.3
HILC-1682	Am32ILC-22304	Am32	GB45568-PA
HILC-1682	AmelILC-15798	Amel	XP_006571826.1
HILC-1682	Amh3ILC-06128	Amh3	XP_006571826.2
HILC-1683	Am32ILC-12895	Am32	GB55930-PA
HILC-1683	AmelILC-04465	Amel	XP_016767265.1
HILC-1683	Amh3ILC-04467	Amh3	XP_026296267.1
HILC-1684	Am32ILC-01266	Am32	GB47440-PA
HILC-1684	AmelILC-01402	Amel	XP_006570768.1
HILC-1684	Amh3ILC-01175	Amh3	XP_006570768.1
HILC-1685	Am32ILC-17629	Am32	GB40538-PA
HILC-1685	AmelILC-08414	Amel	XP_016769238.1
HILC-1685	Amh3ILC-08270	Amh3	XP_016769238.1
HILC-1686	Am32ILC-07109	Am32	GB54150-PA
HILC-1686	AmelILC-13999	Amel	XP_016771528.1
HILC-1686	Amh3ILC-13945	Amh3	XP_016771528.2
HILC-1687	Am32ILC-06383	Am32	GB49908-PA
HILC-1687	AmelILC-13424	Amel	NP_001011581.1
HILC-1687	Amh3ILC-13347	Amh3	NP_001011581.1
HILC-1688	Am32ILC-08505	Am32	GB50069-PA
HILC-1688	AmelILC-14911	Amel	XP_625224.3
HILC-1688	Amh3ILC-14823	Amh3	XP_625224.4
HILC-1689	Am32ILC-10353	Am32	GB55476-PA
HILC-1689	AmelILC-03134	Amel	XP_006568832.1
HILC-1689	Amh3ILC-03006	Amh3	XP_006568831.2
HILC-1690	Am32ILC-01505	Am32	GB50364-PA
HILC-1690	AmelILC-00201	Amel	XP_006559953.2
HILC-1690	Amh3ILC-00198	Amh3	XP_026302109.1
HILC-1691	Am32ILC-14306	Am32	GB40901-PA
HILC-1691	AmelILC-05223	Amel	XP_006561140.1
HILC-1691	Amh3ILC-05263	Amh3	XP_006561140.1
HILC-1692	Am32ILC-08169	Am32	GB49505-PA
HILC-1692	AmelILC-14626	Amel	XP_006560764.1
HILC-1692	Amh3ILC-14566	Amh3	XP_006560764.1
HILC-1693	Am32ILC-07929	Am32	GB43555-PA
HILC-1693	AmelILC-13775	Amel	NP_001229385.1
HILC-1693	Amh3ILC-13676	Amh3	NP_001229385.1
HILC-1694	Am32ILC-16611	Am32	GB49704-PA
HILC-1694	AmelILC-07376	Amel	XP_624007.3
HILC-1694	Amh3ILC-07203	Amh3	XP_624007.4
HILC-1695	Am32ILC-17452	Am32	GB40425-PA
HILC-1695	AmelILC-08287	Amel	XP_016768827.1
HILC-1695	Amh3ILC-08148	Amh3	XP_016768827.1
HILC-1696	Am32ILC-02470	Am32	GB52269-PA
HILC-1696	AmelILC-00268	Amel	XP_006561557.2
HILC-1696	Amh3ILC-00253	Amh3	XP_026301002.1
HILC-1697	Am32ILC-10578	Am32	GB55619-PA
HILC-1697	AmelILC-02943	Amel	XP_016773570.1
HILC-1697	Amh3ILC-02817	Amh3	XP_016773570.1
HILC-1698	Am32ILC-07411	Am32	GB52793-PA
HILC-1698	AmelILC-14111	Amel	XP_016771855.1
HILC-1698	Amh3ILC-13993	Amh3	XP_016771856.2
HILC-1699	Am32ILC-00188	Am32	GB40824-PA
HILC-1699	AmelILC-00535	Amel	XP_006563314.1
HILC-1699	Amh3ILC-00492	Amh3	XP_624673.3
HILC-1700	Am32ILC-13648	Am32	GB44656-PA
HILC-1700	AmelILC-05748	Amel	XP_006567879.1
HILC-1700	Amh3ILC-05654	Amh3	XP_006567879.1
HILC-1701	Am32ILC-14055	Am32	GB45695-PA
HILC-1701	AmelILC-06122	Amel	XP_001121869.2
HILC-1701	Amh3ILC-06028	Amh3	XP_026296772.1
HILC-1702	Am32ILC-07327	Am32	GB52723-PA
HILC-1702	AmelILC-14048	Amel	XP_006564921.1
HILC-1702	Amh3ILC-14050	Amh3	XP_006564920.2
HILC-1703	Am32ILC-06737	Am32	GB48006-PA
HILC-1703	AmelILC-13135	Amel	XP_016771389.1
HILC-1703	Amh3ILC-13112	Amh3	XP_001120705.4
HILC-1704	Am32ILC-17875	Am32	GB43833-PA
HILC-1704	AmelILC-08615	Amel	XP_006563869.1
HILC-1704	Amh3ILC-08476	Amh3	XP_006563869.2
HILC-1705	Am32ILC-12748	Am32	GB53172-PA
HILC-1705	AmelILC-04313	Amel	XP_623993.3
HILC-1705	Amh3ILC-04197	Amh3	XP_623993.3
HILC-1706	Am32ILC-19639	Am32	GB49425-PA
HILC-1706	AmelILC-16681	Amel	XP_006572235.1
HILC-1706	Amh3ILC-11250	Amh3	XP_392703.4
HILC-1707	Am32ILC-14862	Am32	GB46091-PA
HILC-1707	AmelILC-06409	Amel	XP_016768150.1
HILC-1707	Amh3ILC-06388	Amh3	XP_016768150.1
HILC-1708	Am32ILC-03143	Am32	GB48456-PA
HILC-1708	AmelILC-10401	Amel	XP_006562958.1
HILC-1708	Amh3ILC-10186	Amh3	XP_016769920.1
HILC-1709	Am32ILC-12352	Am32	GB44037-PA
HILC-1709	AmelILC-04868	Amel	XP_392325.1
HILC-1709	Amh3ILC-04760	Amh3	XP_392325.1
HILC-1710	Am32ILC-08827	Am32	GB50287-PA
HILC-1710	AmelILC-15202	Amel	XP_624690.3
HILC-1710	Amh3ILC-15099	Amh3	XP_624690.4
HILC-1711	Am32ILC-10346	Am32	GB55539-PA
HILC-1711	AmelILC-03143	Amel	XP_003251266.1
HILC-1711	Amh3ILC-03014	Amh3	XP_003251266.1
HILC-1712	Am32ILC-16655	Am32	GB44259-PA
HILC-1712	AmelILC-07397	Amel	XP_006558859.1
HILC-1712	Amh3ILC-07283	Amh3	XP_006558860.1
HILC-1713	Am32ILC-13711	Am32	GB44687-PA
HILC-1713	AmelILC-05814	Amel	XP_006567933.1
HILC-1713	Amh3ILC-05594	Amh3	XP_624292.1
HILC-1714	Am32ILC-08864	Am32	GB47073-PA
HILC-1714	AmelILC-14341	Amel	XP_395213.5
HILC-1714	Amh3ILC-14292	Amh3	XP_026301186.1
HILC-1715	Am32ILC-17986	Am32	GB41821-PA
HILC-1715	AmelILC-08845	Amel	XP_016769038.1
HILC-1715	Amh3ILC-08594	Amh3	XP_016769037.1
HILC-1716	Am32ILC-15724	Am32	GB45314-PA
HILC-1716	AmelILC-07235	Amel	XP_396028.4
HILC-1716	Amh3ILC-06923	Amh3	XP_396028.5
HILC-1717	Am32ILC-08196	Am32	GB50537-PA
HILC-1717	AmelILC-14641	Amel	XP_393106.3
HILC-1717	Amh3ILC-14583	Amh3	XP_393106.4
HILC-1718	Am32ILC-16409	Am32	GB44295-PA
HILC-1718	AmelILC-07901	Amel	XP_394673.3
HILC-1718	Amh3ILC-07762	Amh3	XP_394673.4
HILC-1719	Am32ILC-03341	Am32	GB51015-PA
HILC-1719	AmelILC-10846	Amel	XP_006566019.1
HILC-1719	Amh3ILC-13732	Amh3	XP_006566019.2
HILC-1720	Am32ILC-06203	Am32	GB55074-PA
HILC-1720	AmelILC-12374	Amel	XP_006559311.1
HILC-1720	Amh3ILC-12233	Amh3	XP_006559309.1
HILC-1721	Am32ILC-04802	Am32	GB45265-PA
HILC-1721	AmelILC-12006	Amel	XP_006566734.1
HILC-1721	Amh3ILC-11887	Amh3	XP_006566734.2
HILC-1722	Am32ILC-15078	Am32	GB41455-PA
HILC-1722	AmelILC-06741	Amel	XP_394641.3
HILC-1722	Amh3ILC-06590	Amh3	XP_394641.3
HILC-1723	Am32ILC-03967	Am32	GB46621-PA
HILC-1723	AmelILC-10998	Amel	XP_006557486.2
HILC-1723	Amh3ILC-10849	Amh3	XP_006557486.2
HILC-1724	Am32ILC-12986	Am32	GB50442-PA
HILC-1724	AmelILC-04535	Amel	XP_006562677.1
