hiLocus	iLocus	Species	Protein
HILC-360	Amh3ILC-10707	Amh3	XP_026298997.1
HILC-360	BterILC-06985	Bter	XP_020720711.1
HILC-360	CfloILC-09677	Cflo	XP_011254156.1
HILC-360	HsalILC-17072	Hsal	XP_011145594.1
HILC-360	PcanILC-05341	Pcan	XP_014601957.1
HILC-360	PdtlILC-15466	Pdtl	PdomMRNAr1.2-00045.1
HILC-360	NvitILC-05150	Nvit	XP_001605901.2
HILC-361	Amh3ILC-01775	Amh3	XP_001122093.2
HILC-361	BterILC-00088	Bter	XP_003392931.1
HILC-361	CfloILC-05604	Cflo	XP_011250901.1
HILC-361	HsalILC-00850	Hsal	XP_011138030.1
HILC-361	PcanILC-11235	Pcan	XP_014610634.1
HILC-361	PdtlILC-15921	Pdtl	PdomMRNAr1.2-05495.1
HILC-361	NvitILC-10057	Nvit	XP_016841401.1
HILC-362	Amh3ILC-03006	Amh3	XP_006568831.2
HILC-362	BterILC-01193	Bter	XP_003393712.1
HILC-362	CfloILC-02186	Cflo	XP_011263539.1
HILC-362	HsalILC-22433	Hsal	XP_011150267.1
HILC-362	PcanILC-01739	Pcan	XP_014615554.1
HILC-362	PdtlILC-09491	Pdtl	PdomMRNAr1.2-01699.1
HILC-362	NvitILC-07273	Nvit	XP_001603798.2
HILC-363	Amh3ILC-03120	Amh3	NP_001165875.1
HILC-363	BterILC-02061	Bter	XP_012175845.1
HILC-363	CfloILC-22312	Cflo	XP_011264145.1
HILC-363	HsalILC-00392	Hsal	XP_019701165.1
HILC-363	PcanILC-01542	Pcan	XP_014615191.1
HILC-363	PdtlILC-15295	Pdtl	PdomMRNAr1.2-09317.1
HILC-363	NvitILC-13765	Nvit	NP_001161447.1
HILC-364	Amh3ILC-13383	Amh3	XP_393174.1
HILC-364	BterILC-09974	Bter	XP_003400117.1
HILC-364	CfloILC-13105	Cflo	XP_011257161.1
HILC-364	HsalILC-25153	Hsal	XP_011152260.1
HILC-364	PcanILC-10847	Pcan	XP_014610102.1
HILC-364	PdtlILC-02662	Pdtl	PdomMRNAr1.2-01357.1
HILC-364	NvitILC-23144	Nvit	XP_016844929.1
HILC-365	Amh3ILC-04852	Amh3	XP_016767202.2
HILC-365	BterILC-03242	Bter	XP_003395159.1
HILC-365	CfloILC-07344	Cflo	XP_011252231.1
HILC-365	HsalILC-16033	Hsal	XP_011144721.1
HILC-365	PcanILC-09961	Pcan	XP_014608885.1
HILC-365	PdtlILC-04149	Pdtl	PdomMRNAr1.2-01075.1
HILC-365	NvitILC-08904	Nvit	XP_003427518.1
HILC-366	Amh3ILC-13993	Amh3	XP_016771856.2
HILC-366	BterILC-10389	Bter	XP_003400680.1
HILC-366	CfloILC-22410	Cflo	XP_011264243.1
HILC-366	HsalILC-22193	Hsal	XP_011150020.1
HILC-366	PcanILC-06662	Pcan	XP_014603861.1
HILC-366	PdtlILC-10063	Pdtl	PdomMRNAr1.2-04536.1
HILC-366	NvitILC-03931	Nvit	XP_016837734.1
HILC-367	Amh3ILC-13684	Amh3	XP_016771802.2
HILC-367	BterILC-10662	Bter	XP_020722194.1
HILC-367	CfloILC-08930	Cflo	XP_011253618.1
HILC-367	HsalILC-09843	Hsal	XP_011139183.1
HILC-367	PcanILC-07297	Pcan	XP_014604853.1
HILC-367	PdtlILC-10603	Pdtl	PdomMRNAr1.2-07325.1
HILC-367	NvitILC-08425	Nvit	XP_001604753.1
HILC-368	Amh3ILC-05241	Amh3	XP_623571.3
HILC-368	BterILC-03986	Bter	XP_012163747.1
HILC-368	CfloILC-11372	Cflo	XP_011255564.1
HILC-368	HsalILC-13409	Hsal	XP_011142417.1
HILC-368	PcanILC-08031	Pcan	XP_014605897.1
HILC-368	PdtlILC-11309	Pdtl	PdomMRNAr1.2-02221.1
HILC-368	NvitILC-24587	Nvit	XP_016845467.1
HILC-369	Amh3ILC-12964	Amh3	XP_393336.2
HILC-369	BterILC-09870	Bter	XP_012170950.1
HILC-369	CfloILC-02415	Cflo	XP_019884820.1
HILC-369	HsalILC-02611	Hsal	XP_011151776.1
HILC-369	PcanILC-00314	Pcan	XP_014598646.1
HILC-369	PdtlILC-04240	Pdtl	PdomMRNAr1.2-00896.1
HILC-369	NvitILC-06021	Nvit	XP_008216297.1
HILC-370	Amh3ILC-09253	Amh3	XP_396702.1
HILC-370	BterILC-06404	Bter	XP_003397626.1
HILC-370	CfloILC-23384	Cflo	XP_011265107.1
HILC-370	HsalILC-20024	Hsal	XP_011148129.1
HILC-370	PcanILC-04585	Pcan	XP_014600609.1
HILC-370	PdtlILC-13851	Pdtl	PdomMRNAr1.2-05194.1
HILC-370	NvitILC-16061	Nvit	XP_016843234.1
HILC-371	Amh3ILC-13495	Amh3	XP_393588.2
HILC-371	BterILC-10740	Bter	XP_003400822.1
HILC-371	CfloILC-10240	Cflo	XP_011254633.1
HILC-371	HsalILC-15335	Hsal	XP_011144150.1
HILC-371	PcanILC-00854	Pcan	XP_014607356.1
HILC-371	PdtlILC-03950	Pdtl	PdomMRNAr1.2-10403.1
HILC-371	NvitILC-06107	Nvit	XP_003423811.1
HILC-372	Amh3ILC-10669	Amh3	XP_393148.4
HILC-372	BterILC-07634	Bter	XP_003398230.1
HILC-372	CfloILC-10762	Cflo	XP_011255071.1
HILC-372	HsalILC-18804	Hsal	XP_011147029.1
HILC-372	PcanILC-05367	Pcan	XP_014601944.1
HILC-372	PdtlILC-17195	Pdtl	PdomMRNAr1.2-00585.1
HILC-372	NvitILC-05196	Nvit	XP_008217823.1
HILC-373	Amh3ILC-06195	Amh3	XP_006557575.1
HILC-373	BterILC-04162	Bter	XP_003395922.1
HILC-373	CfloILC-24265	Cflo	XP_011265794.1
HILC-373	HsalILC-24775	Hsal	XP_011151969.1
HILC-373	PcanILC-11593	Pcan	XP_014611077.1
HILC-373	PdtlILC-14205	Pdtl	PdomMRNAr1.2-10885.1
HILC-373	NvitILC-08396	Nvit	XP_008203538.1
HILC-374	Amh3ILC-05958	Amh3	XP_393469.2
HILC-374	BterILC-02435	Bter	XP_003394662.1
HILC-374	CfloILC-16870	Cflo	XP_011260177.1
HILC-374	HsalILC-12450	Hsal	XP_011141589.1
HILC-374	PcanILC-10679	Pcan	XP_014609937.1
HILC-374	PdtlILC-00845	Pdtl	PdomMRNAr1.2-08822.1
HILC-374	NvitILC-13462	Nvit	XP_001605610.1
HILC-375	Amh3ILC-06643	Amh3	XP_623366.2
HILC-375	BterILC-04303	Bter	XP_003396034.1
HILC-375	CfloILC-12616	Cflo	XP_011256852.1
HILC-375	HsalILC-05442	Hsal	XP_011135443.1
HILC-375	PcanILC-00511	Pcan	XP_014600537.1
HILC-375	PdtlILC-05189	Pdtl	PdomMRNAr1.2-00379.1
HILC-375	NvitILC-01333	Nvit	XP_001600436.1
HILC-376	Amh3ILC-04875	Amh3	XP_395913.3
HILC-376	BterILC-13074	Bter	XP_003402487.1
HILC-376	CfloILC-20714	Cflo	XP_011262940.1
HILC-376	HsalILC-26598	Hsal	XP_011153511.1
HILC-376	PcanILC-03001	Pcan	XP_014598125.1
HILC-376	PdtlILC-08559	Pdtl	PdomMRNAr1.2-01084.1
HILC-376	NvitILC-05697	Nvit	XP_008204886.1
HILC-377	Amh3ILC-08893	Amh3	XP_016769259.1
HILC-377	BterILC-12042	Bter	XP_012173180.1
HILC-377	CfloILC-02573	Cflo	XP_011267755.1
HILC-377	HsalILC-18419	Hsal	XP_019698911.1
HILC-377	PcanILC-08264	Pcan	XP_014606304.1
HILC-377	PdtlILC-14795	Pdtl	PdomMRNAr1.2-00952.1
HILC-377	NvitILC-03619	Nvit	XP_001604294.1
HILC-378	Amh3ILC-12473	Amh3	XP_026300121.1
HILC-378	BterILC-08911	Bter	XP_020721369.1
HILC-378	CfloILC-27380	Cflo	XP_011267926.2
HILC-378	HsalILC-07483	Hsal	XP_019696267.1
HILC-378	PcanILC-01745	Pcan	XP_014615358.1
HILC-378	PdtlILC-09498	Pdtl	PdomMRNAr1.2-07854.1
HILC-378	NvitILC-10149	Nvit	XP_016841168.1
HILC-379	Amh3ILC-04383	Amh3	XP_001121600.2
HILC-379	BterILC-02640	Bter	XP_012163072.1
HILC-379	CfloILC-20024	Cflo	XP_011262461.1
HILC-379	HsalILC-21186	Hsal	XP_011149160.1
HILC-379	PcanILC-02642	Pcan	XP_014616817.1
HILC-379	PdtlILC-12811	Pdtl	PdomMRNAr1.2-08550.1
HILC-379	NvitILC-05490	Nvit	XP_001605971.1
HILC-380	Amh3ILC-00351	Amh3	XP_623301.2
HILC-380	BterILC-02732	Bter	XP_003394872.1
HILC-380	CfloILC-24673	Cflo	XP_011266122.1
HILC-380	HsalILC-24752	Hsal	XP_011151941.1
HILC-380	PcanILC-00936	Pcan	XP_014609121.1
HILC-380	PdtlILC-08371	Pdtl	PdomMRNAr1.2-01668.1
HILC-380	NvitILC-08544	Nvit	XP_016839394.1
HILC-381	Amh3ILC-02021	Amh3	XP_395844.3
HILC-381	BterILC-12665	Bter	XP_003402232.1
HILC-381	CfloILC-12067	Cflo	XP_011256162.1
HILC-381	HsalILC-16967	Hsal	XP_019698585.1
HILC-381	PcanILC-11983	Pcan	XP_014611573.1
HILC-381	PdtlILC-02845	Pdtl	PdomMRNAr1.2-09151.1
HILC-381	NvitILC-16036	Nvit	XP_001602548.1
HILC-382	Amh3ILC-06623	Amh3	NP_001011650.1
HILC-382	BterILC-04290	Bter	XP_003396026.1
HILC-382	CfloILC-18814	Cflo	XP_011261434.1
HILC-382	HsalILC-05462	Hsal	XP_011135465.1
HILC-382	PcanILC-00523	Pcan	XP_014601224.1
HILC-382	PdtlILC-05208	Pdtl	PdomMRNAr1.2-07727.1
HILC-382	NvitILC-07553	Nvit	XP_001602491.2
HILC-383	Amh3ILC-04374	Amh3	XP_016767017.2
HILC-383	BterILC-02981	Bter	XP_020718478.1
HILC-383	CfloILC-19749	Cflo	XP_011262250.1
HILC-383	HsalILC-13976	Hsal	XP_011142951.1
HILC-383	PcanILC-04054	Pcan	XP_014599636.1
HILC-383	PdtlILC-10610	Pdtl	PdomMRNAr1.2-05130.1
HILC-383	NvitILC-05504	Nvit	XP_016838292.1
HILC-384	Amh3ILC-12498	Amh3	XP_624708.2
HILC-384	BterILC-08932	Bter	XP_003399506.1
HILC-384	CfloILC-13273	Cflo	XP_011257359.1
HILC-384	HsalILC-13420	Hsal	XP_011142428.1
HILC-384	PcanILC-00643	Pcan	XP_014604329.1
HILC-384	PdtlILC-03605	Pdtl	PdomMRNAr1.2-00965.1
HILC-384	NvitILC-02432	Nvit	XP_001604227.1
HILC-385	Amh3ILC-08630	Amh3	XP_006564630.1
HILC-385	BterILC-11925	Bter	XP_020722826.1
HILC-385	CfloILC-11056	Cflo	XP_011255322.1
HILC-385	HsalILC-17908	Hsal	XP_011146177.1
HILC-385	PcanILC-03380	Pcan	XP_014598653.1
HILC-385	PdtlILC-11903	Pdtl	PdomMRNAr1.2-10005.1
HILC-385	NvitILC-23232	Nvit	XP_001605621.1
HILC-386	Amh3ILC-12075	Amh3	XP_006570490.2
HILC-386	BterILC-07894	Bter	XP_012168631.1
HILC-386	CfloILC-22261	Cflo	XP_011264071.1
HILC-386	HsalILC-20160	Hsal	XP_011148305.1
HILC-386	PcanILC-10974	Pcan	XP_014610346.1
HILC-386	PdtlILC-15037	Pdtl	PdomMRNAr1.2-01845.1
HILC-386	NvitILC-07417	Nvit	XP_008204617.1
HILC-387	Amh3ILC-09144	Amh3	XP_026298833.1
HILC-387	BterILC-12354	Bter	XP_003401930.1
HILC-387	CfloILC-10076	Cflo	XP_011254500.1
HILC-387	HsalILC-17848	Hsal	XP_019698768.1
HILC-387	PcanILC-05489	Pcan	XP_014602013.1
HILC-387	PdtlILC-00442	Pdtl	PdomMRNAr1.2-02440.1
HILC-387	NvitILC-03071	Nvit	XP_008215816.1
HILC-388	Amh3ILC-14049	Amh3	XP_006564927.1
HILC-388	BterILC-10448	Bter	XP_012171539.1
HILC-388	CfloILC-08384	Cflo	XP_011253184.1
HILC-388	HsalILC-14875	Hsal	XP_011143756.1
HILC-388	PcanILC-04811	Pcan	XP_014601047.1
HILC-388	PdtlILC-03252	Pdtl	PdomMRNAr1.2-06963.1
HILC-388	NvitILC-11216	Nvit	XP_008202731.1
HILC-389	Amh3ILC-15036	Amh3	XP_394056.4
HILC-389	BterILC-10953	Bter	XP_003401150.1
HILC-389	CfloILC-17646	Cflo	XP_011260796.1
HILC-389	HsalILC-21578	Hsal	XP_019699793.1
HILC-389	PcanILC-06156	Pcan	XP_014602988.1
HILC-389	PdtlILC-10920	Pdtl	PdomMRNAr1.2-08985.1
HILC-389	NvitILC-03286	Nvit	XP_016836774.1
HILC-390	Amh3ILC-14119	Amh3	XP_016771590.1
HILC-390	BterILC-10182	Bter	XP_020722316.1
HILC-390	CfloILC-02447	Cflo	XP_011266319.1
HILC-390	HsalILC-14106	Hsal	XP_011143076.1
HILC-390	PcanILC-03492	Pcan	XP_014598844.1
HILC-390	PdtlILC-04420	Pdtl	PdomMRNAr1.2-07704.1
HILC-390	NvitILC-10095	Nvit	XP_008206831.1
HILC-391	Amh3ILC-01627	Amh3	XP_026297103.1
HILC-391	BterILC-00225	Bter	XP_003393002.1
HILC-391	CfloILC-03573	Cflo	XP_011268855.1
HILC-391	HsalILC-23541	Hsal	XP_011151230.1
HILC-391	PcanILC-10208	Pcan	XP_014609245.1
HILC-391	PdtlILC-01589	Pdtl	PdomMRNAr1.2-11537.1
HILC-391	NvitILC-05859	Nvit	XP_008205012.1
HILC-392	Amh3ILC-08022	Amh3	XP_026297974.1
HILC-392	BterILC-13810	Bter	XP_003402687.1
HILC-392	CfloILC-16753	Cflo	XP_011260085.1
HILC-392	HsalILC-09412	Hsal	XP_011138813.1
HILC-392	PcanILC-11217	Pcan	XP_014610599.1
HILC-392	PdtlILC-16282	Pdtl	PdomMRNAr1.2-07032.1
HILC-392	NvitILC-03022	Nvit	XP_001608262.1
HILC-393	Amh3ILC-15223	Amh3	XP_624707.2
HILC-393	BterILC-09316	Bter	XP_012170277.1
HILC-393	CfloILC-08688	Cflo	XP_011253403.1
HILC-393	HsalILC-09104	Hsal	XP_011138539.1
HILC-393	PcanILC-00632	Pcan	XP_014602696.1
HILC-393	PdtlILC-03627	Pdtl	PdomMRNAr1.2-08079.1
HILC-393	NvitILC-12121	Nvit	XP_016842079.1
HILC-394	Amh3ILC-12677	Amh3	XP_393870.2
HILC-394	BterILC-09072	Bter	XP_003399941.1
HILC-394	CfloILC-23503	Cflo	XP_011265218.1
HILC-394	HsalILC-18662	Hsal	XP_011146928.1
HILC-394	PcanILC-04582	Pcan	XP_014600673.1
HILC-394	PdtlILC-04951	Pdtl	PdomMRNAr1.2-02154.1
HILC-394	NvitILC-01897	Nvit	XP_016836717.1
HILC-395	Amh3ILC-07142	Amh3	XP_001122083.2
HILC-395	BterILC-06383	Bter	XP_020720043.1
HILC-395	CfloILC-07055	Cflo	XP_011252056.1
HILC-395	HsalILC-08731	Hsal	XP_011138184.1
HILC-395	PcanILC-05745	Pcan	XP_014602417.1
HILC-395	PdtlILC-08072	Pdtl	PdomMRNAr1.2-04128.1
HILC-395	NvitILC-04349	Nvit	XP_001606983.2
HILC-396	Amh3ILC-00556	Amh3	XP_006563283.2
HILC-396	BterILC-04469	Bter	XP_003396215.1
HILC-396	CfloILC-23195	Cflo	XP_011264842.1
HILC-396	HsalILC-15863	Hsal	XP_011144588.1
HILC-396	PcanILC-01910	Pcan	XP_014615718.1
HILC-396	PdtlILC-10249	Pdtl	PdomMRNAr1.2-00010.1
HILC-396	NvitILC-18027	Nvit	XP_003424312.1
HILC-397	Amh3ILC-14835	Amh3	XP_396448.1
HILC-397	BterILC-11135	Bter	XP_012172237.1
HILC-397	CfloILC-16322	Cflo	XP_011259795.1
HILC-397	HsalILC-07542	Hsal	XP_011137076.1
HILC-397	PcanILC-03466	Pcan	XP_014598705.1
HILC-397	PdtlILC-11590	Pdtl	PdomMRNAr1.2-09881.1
HILC-397	NvitILC-10399	Nvit	XP_001606470.2
HILC-398	Amh3ILC-00947	Amh3	XP_026301851.1
HILC-398	BterILC-04713	Bter	XP_012165331.1
HILC-398	CfloILC-03197	Cflo	XP_011268521.1
HILC-398	HsalILC-14697	Hsal	XP_011143597.1
HILC-398	PcanILC-01672	Pcan	XP_014615525.1
HILC-398	PdtlILC-09409	Pdtl	PdomMRNAr1.2-06443.1
HILC-398	NvitILC-00300	Nvit	XP_001606553.2
HILC-399	Amh3ILC-01570	Amh3	XP_395724.2
HILC-399	BterILC-00179	Bter	XP_003393174.1
HILC-399	CfloILC-26737	Cflo	XP_011267500.1
HILC-399	HsalILC-00978	Hsal	XP_019696954.1
HILC-399	PcanILC-00158	Pcan	XP_014615859.1
HILC-399	PdtlILC-07280	Pdtl	PdomMRNAr1.2-11364.1
HILC-399	NvitILC-06928	Nvit	XP_016838920.1
HILC-400	Amh3ILC-00859	Amh3	XP_006569685.1
HILC-400	BterILC-04637	Bter	XP_012165235.1
HILC-400	CfloILC-10185	Cflo	XP_011254606.1
HILC-400	HsalILC-10191	Hsal	XP_011139490.1
HILC-400	PcanILC-06512	Pcan	XP_014603552.1
HILC-400	PdtlILC-00553	Pdtl	PdomMRNAr1.2-11023.1
HILC-400	NvitILC-06919	Nvit	XP_008213593.1
HILC-401	Amh3ILC-02083	Amh3	XP_026302189.1
HILC-401	BterILC-01043	Bter	XP_003393627.1
HILC-401	CfloILC-11731	Cflo	XP_019883010.1
HILC-401	HsalILC-26455	Hsal	XP_011153408.1
HILC-401	PcanILC-03359	Pcan	XP_014598502.1
HILC-401	PdtlILC-01232	Pdtl	PdomMRNAr1.2-08313.1
HILC-401	NvitILC-09125	Nvit	XP_008211572.1
HILC-402	Amh3ILC-12082	Amh3	XP_006570497.1
HILC-402	BterILC-07891	Bter	XP_020721166.1
HILC-402	CfloILC-17412	Cflo	XP_011260641.1
HILC-402	HsalILC-03643	Hsal	XP_011154378.1
HILC-402	PcanILC-06004	Pcan	XP_014602775.1
HILC-402	PdtlILC-12421	Pdtl	PdomMRNAr1.2-03096.1
HILC-402	NvitILC-08248	Nvit	XP_001601040.2
HILC-403	Amh3ILC-08278	Amh3	XP_001122669.2
HILC-403	BterILC-05679	Bter	XP_012166325.1
HILC-403	CfloILC-18340	Cflo	XP_011261181.1
HILC-403	HsalILC-23780	Hsal	XP_011151379.1
HILC-403	PcanILC-11999	Pcan	XP_014611613.1
HILC-403	PdtlILC-16448	Pdtl	PdomMRNAr1.2-07530.1
HILC-403	NvitILC-07824	Nvit	XP_008216636.1
HILC-404	Amh3ILC-00806	Amh3	XP_006568642.1
HILC-404	BterILC-04626	Bter	XP_012165207.1
HILC-404	CfloILC-25072	Cflo	XP_011266344.1
HILC-404	HsalILC-01952	Hsal	XP_019698730.1
HILC-404	PcanILC-09657	Pcan	XP_014608448.1
HILC-404	PdtlILC-16053	Pdtl	PdomMRNAr1.2-03148.1
HILC-404	NvitILC-02338	Nvit	XP_008215135.1
HILC-405	Amh3ILC-04727	Amh3	XP_026296008.1
HILC-405	BterILC-03179	Bter	XP_003394924.1
HILC-405	CfloILC-26518	Cflo	XP_011267383.1
HILC-405	HsalILC-08968	Hsal	XP_019696654.1
HILC-405	PcanILC-02054	Pcan	XP_014615990.1
HILC-405	PdtlILC-04907	Pdtl	PdomMRNAr1.2-00719.1
HILC-405	NvitILC-05675	Nvit	XP_016837916.1
HILC-406	Amh3ILC-00498	Amh3	XP_006563309.1
HILC-406	BterILC-13927	Bter	XP_003402770.2
HILC-406	CfloILC-24536	Cflo	XP_011265968.1
HILC-406	HsalILC-09638	Hsal	XP_011139071.1
HILC-406	PcanILC-06926	Pcan	XP_014604328.1
HILC-406	PdtlILC-15728	Pdtl	PdomMRNAr1.2-08357.1
HILC-406	NvitILC-04949	Nvit	XP_001602799.1
HILC-407	Amh3ILC-03672	Amh3	XP_397130.4
HILC-407	BterILC-02308	Bter	XP_003394629.1
HILC-407	CfloILC-14135	Cflo	XP_011257975.1
HILC-407	HsalILC-22049	Hsal	XP_019699893.1
HILC-407	PcanILC-12879	Pcan	XP_014612716.1
HILC-407	PdtlILC-16631	Pdtl	PdomMRNAr1.2-03141.1
HILC-407	NvitILC-03441	Nvit	XP_001600821.1
HILC-408	Amh3ILC-13158	Amh3	XP_016771257.2
HILC-408	BterILC-09622	Bter	XP_020721873.1
HILC-408	CfloILC-03340	Cflo	XP_019885423.1
HILC-408	HsalILC-14705	Hsal	XP_011143609.1
HILC-408	PcanILC-11763	Pcan	XP_014611289.1
HILC-408	PdtlILC-08584	Pdtl	PdomMRNAr1.2-05188.1
HILC-408	NvitILC-15588	Nvit	XP_016843132.1
HILC-409	Amh3ILC-00210	Amh3	XP_016773304.2
HILC-409	BterILC-08683	Bter	XP_003399304.1
HILC-409	CfloILC-09425	Cflo	XP_011253950.2
HILC-409	HsalILC-17838	Hsal	XP_011146056.1
HILC-409	PcanILC-13039	Pcan	XP_014612965.1
HILC-409	PdtlILC-17525	Pdtl	PdomMRNAr1.2-08234.1
HILC-409	NvitILC-08321	Nvit	XP_001602625.1
HILC-410	Amh3ILC-11821	Amh3	XP_006566682.1
HILC-410	BterILC-07954	Bter	XP_012168562.1
HILC-410	CfloILC-07964	Cflo	XP_011252820.1
HILC-410	HsalILC-22765	Hsal	XP_011150553.1
HILC-410	PcanILC-10534	Pcan	XP_014609719.1
HILC-410	PdtlILC-07135	Pdtl	PdomMRNAr1.2-05885.1
HILC-410	NvitILC-05459	Nvit	XP_008204333.1
HILC-411	Amh3ILC-13535	Amh3	XP_396079.3
HILC-411	BterILC-10260	Bter	XP_020722032.1
HILC-411	CfloILC-01054	Cflo	XP_011253844.1
HILC-411	HsalILC-14435	Hsal	XP_011143427.1
HILC-411	PcanILC-10229	Pcan	XP_014609292.1
HILC-411	PdtlILC-04938	Pdtl	PdomMRNAr1.2-03007.1
HILC-411	NvitILC-02134	Nvit	XP_008208278.1
HILC-412	Amh3ILC-09535	Amh3	XP_624036.2
HILC-412	BterILC-06256	Bter	XP_003397552.1
HILC-412	CfloILC-09007	Cflo	XP_011253689.1
HILC-412	HsalILC-03426	Hsal	XP_011154193.1
HILC-412	PcanILC-10867	Pcan	XP_014610169.1
HILC-412	PdtlILC-16835	Pdtl	PdomMRNAr1.2-06348.1
HILC-412	NvitILC-15455	Nvit	XP_001603565.1
HILC-413	Amh3ILC-05248	Amh3	XP_016767929.1
HILC-413	BterILC-03981	Bter	XP_012163757.1
HILC-413	CfloILC-11360	Cflo	XP_011255550.1
HILC-413	HsalILC-13402	Hsal	XP_019697780.1
HILC-413	PcanILC-00498	Pcan	XP_014601263.1
HILC-413	PdtlILC-07676	Pdtl	PdomMRNAr1.2-07964.1
HILC-413	NvitILC-04312	Nvit	XP_016837170.1
HILC-414	Amh3ILC-09040	Amh3	XP_396039.6
HILC-414	BterILC-06097	Bter	XP_012167000.1
HILC-414	CfloILC-02813	Cflo	XP_019885364.1
HILC-414	HsalILC-11216	Hsal	XP_011140490.1
HILC-414	PcanILC-01395	Pcan	XP_014615132.1
HILC-414	PdtlILC-02775	Pdtl	PdomMRNAr1.2-10443.1
HILC-414	NvitILC-04425	Nvit	XP_008212711.1
HILC-415	Amh3ILC-08362	Amh3	XP_001120720.2
HILC-415	BterILC-06065	Bter	XP_003397388.1
HILC-415	CfloILC-15109	Cflo	XP_011258714.1
HILC-415	HsalILC-23203	Hsal	XP_011150813.1
HILC-415	PcanILC-01530	Pcan	XP_014615147.1
HILC-415	PdtlILC-16021	Pdtl	PdomMRNAr1.2-04455.1
HILC-415	NvitILC-08418	Nvit	XP_016840022.1
HILC-416	Amh3ILC-03460	Amh3	XP_006559757.1
HILC-416	BterILC-02228	Bter	XP_003394444.1
HILC-416	CfloILC-22297	Cflo	XP_011264117.1
HILC-416	HsalILC-11051	Hsal	XP_011140316.1
HILC-416	PcanILC-04389	Pcan	XP_014600437.1
HILC-416	PdtlILC-01029	Pdtl	PdomMRNAr1.2-06654.1
HILC-416	NvitILC-03792	Nvit	XP_008209847.1
HILC-417	Amh3ILC-13687	Amh3	XP_391996.4
HILC-417	BterILC-10712	Bter	XP_003400807.1
HILC-417	CfloILC-13181	Cflo	XP_011257277.1
HILC-417	HsalILC-08765	Hsal	XP_011138193.1
HILC-417	PcanILC-01158	Pcan	XP_014611926.1
HILC-417	PdtlILC-07043	Pdtl	PdomMRNAr1.2-09585.1
HILC-417	NvitILC-00501	Nvit	XP_008203008.1
HILC-418	Amh3ILC-07031	Amh3	XP_006570963.1
HILC-418	BterILC-13052	Bter	XP_020723339.1
HILC-418	CfloILC-01470	Cflo	XP_019883231.1
HILC-418	HsalILC-05983	Hsal	XP_011135882.1
HILC-418	PcanILC-04873	Pcan	XP_014601104.1
HILC-418	PdtlILC-11490	Pdtl	PdomMRNAr1.2-07164.1
HILC-418	NvitILC-03794	Nvit	XP_008209848.1
HILC-419	Amh3ILC-07551	Amh3	NP_001128140.1
HILC-419	BterILC-15217	Bter	XP_003403265.1
HILC-419	CfloILC-13648	Cflo	XP_011257645.1
HILC-419	HsalILC-14361	Hsal	XP_011143360.1
HILC-419	PcanILC-04705	Pcan	XP_014601002.1
HILC-419	PdtlILC-05981	Pdtl	PdomMRNAr1.2-09509.1
HILC-419	NvitILC-12951	Nvit	NP_001135884.1
HILC-420	Amh3ILC-11392	Amh3	XP_016770724.1
HILC-420	BterILC-08327	Bter	XP_012169137.1
HILC-420	CfloILC-04500	Cflo	XP_011269705.1
HILC-420	HsalILC-15368	Hsal	XP_011144186.1
HILC-420	PcanILC-07617	Pcan	XP_014605301.1
HILC-420	PdtlILC-01761	Pdtl	PdomMRNAr1.2-02785.1
HILC-420	NvitILC-00103	Nvit	XP_001603725.1
HILC-421	Amh3ILC-03725	Amh3	XP_006564032.3
HILC-421	BterILC-02364	Bter	XP_003394585.1
HILC-421	CfloILC-10151	Cflo	XP_011254572.1
HILC-421	HsalILC-10503	Hsal	XP_011139816.1
HILC-421	PcanILC-02558	Pcan	XP_014616688.1
HILC-421	PdtlILC-03069	Pdtl	PdomMRNAr1.2-10896.1
HILC-421	NvitILC-03381	Nvit	XP_016837760.1
HILC-422	Amh3ILC-03944	Amh3	XP_623919.1
HILC-422	BterILC-02019	Bter	XP_012175893.1
HILC-422	CfloILC-09135	Cflo	XP_011253857.1
HILC-422	HsalILC-08711	Hsal	XP_011138134.1
HILC-422	PcanILC-05880	Pcan	XP_014602608.1
HILC-422	PdtlILC-15499	Pdtl	PdomMRNAr1.2-02345.1
HILC-422	NvitILC-04348	Nvit	XP_016837786.1
HILC-423	Amh3ILC-04065	Amh3	XP_016766629.1
HILC-423	BterILC-14225	Bter	XP_012174594.1
HILC-423	CfloILC-13536	Cflo	XP_011257543.1
HILC-423	HsalILC-06242	Hsal	XP_011136093.1
HILC-423	PcanILC-13950	Pcan	XP_014614225.1
HILC-423	PdtlILC-15253	Pdtl	PdomMRNAr1.2-06826.1
HILC-423	NvitILC-02914	Nvit	XP_016845507.1
HILC-424	Amh3ILC-14900	Amh3	XP_006563414.1
HILC-424	BterILC-11062	Bter	XP_020722403.1
HILC-424	CfloILC-05385	Cflo	XP_011250755.1
HILC-424	HsalILC-19158	Hsal	XP_019699083.1
HILC-424	PcanILC-02952	Pcan	XP_014597871.1
HILC-424	PdtlILC-01509	Pdtl	PdomMRNAr1.2-10392.1
HILC-424	NvitILC-05521	Nvit	NP_001234894.1
HILC-425	Amh3ILC-01914	Amh3	NP_001207415.1
HILC-425	BterILC-00540	Bter	XP_012166492.1
HILC-425	CfloILC-10483	Cflo	XP_011254826.1
HILC-425	HsalILC-04347	Hsal	XP_011155037.1
HILC-425	PcanILC-05838	Pcan	XP_014602574.1
